Sample,Filter,Layers,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
17,PELL_930,1,06/25/2021,1,0.967076281,0.9800479079,0.9756544631,0.9755471479,0.9667216903,0.9618324351,0.9857291822,0.946388443,0.9474121804,0.9212315074,0.985915493,0.6216216216,1.125,2,nan,0,nan,nan,0.9770150007
18,PELL_930,1,06/25/2021,2,1.025272488,1.009236115,1.026837999,1.043013817,1.053718116,1.057911655,1.069364162,1.079133461,1.038305543,1.079338142,1.183932347,1.38028169,1.125,2,nan,nan,nan,nan,1.023249588
19,SATEEN,1,06/29/2021,15,0.9196940727,0.9492233725,0.9293199482,0.9366213976,0.9186096906,0.8995875841,0.8952996531,0.9129556292,0.8604923798,0.8191565404,0.7375415282,0.5454545455,1.090909091,0,nan,nan,nan,nan,0.9387350174
20,SATEEN,1,06/29/2021,15,0.9805517865,1.028992664,1.042607807,0.9506692386,0.8895576743,0.868467748,0.8365815313,0.7917624713,0.79834462,0.7968627451,0.8167539267,0.8181818182,0.75,1.6,2,nan,nan,nan,1.010180897
21,SATEEN,1,06/29/2021,14,0.8572402819,0.8650697576,0.8959218872,0.9264899619,0.9376240321,0.9295573275,0.9331045111,0.8678327349,0.9329346433,0.8532306376,0.7335766423,0.7096774194,1.333333333,0.8,2,0,nan,nan,0.885328229
22,KONA,1,06/29/2021,53,0.8763342879,0.9311317367,0.9137345082,0.8870370502,0.8651803576,0.8363751511,0.7684680218,0.6761493523,0.647753064,0.5756321839,0.4640657084,0.2857142857,0.1739130435,0.2857142857,0,0,nan,nan,0.9126371951
23,KONA,1,06/29/2021,51,0.8405797101,0.9091869571,0.8644844768,0.8271487294,0.797272538,0.7609927007,0.7024611948,0.6437594745,0.5771966047,0.5065420561,0.4406130268,0.1904761905,0.25,0,1,nan,nan,0,0.875296482
24,KONA,1,06/29/2021,41,0.8953217886,0.9420360068,0.9137765862,0.8820071361,0.8589475014,0.8261674172,0.7892769492,0.7443044111,0.6812695574,0.6327272727,0.5307692308,0.4651162791,0.2962962963,0.5454545455,0,0,nan,0,0.9181675854
25,FLANNEL,1,06/29/2021,16,0.8622803433,0.9010454866,0.8720781495,0.847959965,0.8197029725,0.7908451675,0.7804125699,0.7369205915,0.6929061785,0.6536185708,0.6749482402,0.375,0.2962962963,0.3636363636,0,0,nan,nan,0.8791237802
26,FLANNEL,1,06/29/2021,15,0.9232613909,0.9117375013,0.8789886708,0.8546423162,0.8277740822,0.8081659751,0.7887374851,0.7581560284,0.7238302503,0.6459179071,0.5887265136,0.6197183099,0.3448275862,0.2,0,nan,nan,nan,0.8880507125
27,FLANNEL,1,06/29/2021,16,0.8547880691,0.8794670506,0.8451445881,0.8059552536,0.7798133142,0.7505599013,0.719285235,0.6754677993,0.6206896552,0.6294964029,0.5702647658,0.4705882353,0.56,0,0,nan,nan,nan,0.8511871637
28,3M_1860_IPA,1,06/29/2021,45,0.3796462743,0.4651374812,0.3804935237,0.3074610786,0.2457734714,0.2048106692,0.1435457086,0.1174946004,0.09370743667,0.06109979633,0.02474226804,0,0.1538461538,0,nan,0,nan,nan,0.4029286696
29,3M_1860_IPA,1,06/29/2021,42,0.205081826,0.2810991287,0.2043123904,0.1452626811,0.1150418296,0.08303870342,0.06200962741,0.03254237288,0.03383747757,0.02745098039,0.01659751037,0,0.07692307692,0,0,0,nan,nan,0.2278648456
30,3M_1860_IPA,1,06/29/2021,39,0.3973607445,0.5077992552,0.4236517171,0.3487809538,0.2912277506,0.2378303617,0.2015657009,0.1511315689,0.1192345437,0.1005747126,0.052,0,0,0,0,nan,nan,nan,0.4435314284
31,SMT_FB_THCK,3,07/06/2021,17,0.7486481074,0.8234939433,0.7997230767,0.7648561953,0.7263656896,0.661618377,0.6440047022,0.6055085047,0.6052903492,0.4790819986,0.4313099042,0.35,0.4285714286,0,0,nan,0,nan,0.7952179448
32,SMT_FB_THCK,3,07/06/2021,16,0.9224137931,0.9234030545,0.9316756931,0.9468290689,0.9080856396,0.8715878171,0.8528711743,0.7858403176,0.7619047619,0.66953125,0.625984252,0.3170731707,0.2222222222,1,1,0,1,0,0.9254129591
33,SMT_FB_THCK,3,07/06/2021,16,0.7633047376,0.7939930888,0.7846551506,0.7720810399,0.7921071336,0.7702002236,0.7328941951,0.7279390208,0.6483457844,0.6303696304,0.6770601336,0.5483870968,0.2857142857,1,0,0,0,0,0.7865088238
34,3M_1860_IPA,1,07/06/2021,50,0.4247196456,0.509757458,0.4535002511,0.3782204269,0.3174090425,0.273829044,0.1917217204,0.1426547,0.1053535643,0.08147321429,0.01666666667,0,0,0.6666666667,0,nan,0,nan,0.4561297371
35,3M_1860_IPA,1,07/06/2021,45,0.3726523888,0.4514148078,0.3874158808,0.3175996876,0.272192471,0.2200690413,0.1643976898,0.1300143266,0.09287326669,0.08222490931,0.05063291139,0,0,2,0,0,0,0,0.3984698966
36,3M_1860_IPA,1,07/06/2021,35,0.4967833906,0.5691327932,0.5051316156,0.4418350013,0.3729031926,0.3196699393,0.242042042,0.2066666667,0.1622474747,0.1275881365,0.05982905983,0.06976744186,0,0,0,0,0,0,0.5143215606
37,H400,1,07/12/2021,57,0.2020360219,0.3088852691,0.220364286,0.1390166462,0.08117940973,0.047451719,0.03792473318,0.02764096155,0.01200154859,0.006017125665,0.01052631579,0,0,0,nan,nan,nan,nan,0.236160187
38,H400,1,07/12/2021,68,0.1909584087,0.2827737828,0.1996535815,0.1215001539,0.07288070579,0.0467039801,0.03278494496,0.01432614079,0.009069152286,0.007819548872,0.007421150278,0,0,0,0,nan,nan,nan,0.2166880045
39,H400,1,07/12/2021,64,0.175862069,0.2526805167,0.1831873183,0.1170159977,0.07771989844,0.05585564878,0.0374099605,0.02383183826,0.01112594571,0.009254974549,0,0,0,0,0,nan,nan,nan,0.2008246009
40,PELL_930,5,07/12/2021,9,0.8522623144,0.8779294997,0.885913137,0.8965794254,0.9305108514,0.9394068883,0.9235642473,0.8952861953,0.8589108911,0.8066666667,0.7872340426,0.46875,0.2727272727,0,0,nan,nan,nan,0.8862186828
41,PELL_930,5,07/12/2021,9,0.8494195046,0.8722200669,0.8681183857,0.858892352,0.8493062365,0.8427779424,0.8380792853,0.8001984783,0.8057464085,0.7598012148,0.7080745342,0.6769230769,0.5263157895,1.333333333,nan,nan,nan,nan,0.866626634
42,PELL_930,5,07/12/2021,10,0.8731349238,0.8996729719,0.8970046631,0.8908712141,0.8721886999,0.8488490183,0.834750036,0.7935306263,0.8323510151,0.6953989517,0.6997742664,0.5333333333,1.090909091,0,nan,nan,nan,nan,0.8939088751
43,SMT_FB_THCK,5,07/21/2021,23,0.7397509554,0.7606456347,0.7537629639,0.7285373261,0.6999613244,0.6965917077,0.6458075847,0.6019586507,0.5796443435,0.5575167377,0.4194260486,0.253164557,0.1,0.4,nan,nan,nan,nan,0.7472303799
44,SMT_FB_THCK,5,07/21/2021,24,0.7639955511,0.7640187616,0.7712880535,0.7620621743,0.7580703538,0.7405529954,0.7132792769,0.6570915619,0.6421880854,0.5948275862,0.5829596413,0.2368421053,0.4,0,nan,nan,nan,nan,0.7633003433
45,SMT_FB_THCK,5,07/21/2021,24,0.761825548,0.7721184335,0.7748872747,0.764843397,0.7559451578,0.7432669642,0.7147109727,0.6734979041,0.6482705014,0.5266538215,0.4398148148,0.3793103448,0,0,0,nan,nan,nan,0.7687696402
46,SMT_FB_THCK,7,07/21/2021,35,0.7506214201,0.7449947026,0.7545388502,0.758564405,0.7595125229,0.7063593902,0.7114308553,0.6487455197,0.6488164532,0.5320754717,0.4601769912,0.3636363636,0.4,0,nan,nan,nan,nan,0.7479310866
47,SMT_FB_THCK,7,07/21/2021,41,0.6435227579,0.6703722142,0.6699092658,0.6620373126,0.6596559699,0.6082101127,0.5809511763,0.4940204392,0.4595712674,0.4343434343,0.3303571429,0.3571428571,0,0,nan,nan,nan,nan,0.6646470056
48,SMT_FB_THCK,7,07/21/2021,45,0.7117893445,0.7317301478,0.7293723871,0.7246604765,0.7041665924,0.6769150599,0.6556758117,0.5595471369,0.5463994061,0.5388409371,0.4229979466,0.2592592593,0.1176470588,0,nan,nan,nan,nan,0.7252533095
49,H400,2,07/21/2021,115,0.04978724529,0.06782579048,0.05159416728,0.03903265758,0.03480360821,0.02903225806,0.02129670468,0.0235747964,0.01842299189,0.01813031161,0,0,0,0,nan,nan,nan,nan,0.05636797022
50,H400,2,07/21/2021,112,0.05845410628,0.0748612338,0.05608799411,0.04315472359,0.03704369718,0.03026678454,0.02533290029,0.02641264343,0.02322967404,0.01881246326,0.02828282828,0,0,0,nan,nan,nan,nan,0.06207483065
51,H400,2,07/21/2021,104,0.05170404085,0.06621852663,0.04748047071,0.03457410305,0.02848836075,0.02178527539,0.01697271198,0.01388888889,0.01163757273,0.008456659619,0.008888888889,0,0,0,0,nan,nan,nan,0.05364164291
52,H400,3,07/21/2021,187,0.01168595416,0.01805450931,0.009604859895,0.004294729259,0.002626020437,0.0008641641912,0.0001392175971,0,0,0,0,0,0,0,0,nan,nan,nan,0.01258891869
53,H400,3,07/21/2021,178,0.008300248478,0.01256352636,0.006718117616,0.003821333177,0.002552516298,0.002119154265,0.00158817421,0.0004199916002,0.001431127013,0,0,0,0,0,nan,nan,nan,nan,0.00886640438
54,H400,3,07/21/2021,170,0.01565755015,0.02182898788,0.01531763789,0.01031055174,0.008250017479,0.008356947313,0.005112538188,0.004314994606,0.002164502165,0.001137009665,0,0,0,0,nan,nan,nan,nan,0.01721896483
55,CA_N95_IPA,1,07/21/2021,46,0.1030764318,0.1386827074,0.1048887129,0.07440174039,0.05762735966,0.04491947003,0.03310836623,0.02504943968,0.02579218865,0.01407624633,0.008281573499,0,0,0,nan,nan,nan,nan,0.1129679903
56,CA_N95_IPA,1,07/21/2021,49,0.1878342422,0.2396560426,0.1892672076,0.1424996808,0.1085181657,0.09008836876,0.06059870059,0.03631112028,0.03534078615,0.02393162393,0,0,0,0,nan,nan,nan,nan,0.1995673471
57,CA_N95_IPA,1,07/21/2021,45,0.1716735823,0.21596249,0.1702351146,0.1249189053,0.09414319019,0.07621905476,0.04827186716,0.03776129467,0.02313922098,0.01556886228,0.01327433628,0,0,0,nan,nan,nan,nan,0.1792620863
58,CA_N99_IPA,1,07/21/2021,39,0.3156567041,0.3860535518,0.3353754267,0.277763574,0.2479576065,0.2145523342,0.1630779615,0.1410044801,0.1170423092,0.09838107098,0.07906976744,0.06666666667,0,0,0,nan,nan,nan,0.3433408471
59,CA_N99_IPA,1,07/21/2021,47,0.1460348425,0.1797032284,0.147170703,0.1183731433,0.1041557469,0.09863157895,0.07004054243,0.0618805898,0.04969450102,0.05733333333,0.07710843373,0.02985074627,0,0,0,nan,nan,nan,0.1556019958
60,CA_N99_IPA,1,07/21/2021,36,0.1881583324,0.2178747205,0.1873048555,0.161076888,0.1463050608,0.142273465,0.1133333333,0.112335958,0.1020497165,0.1215629522,0.0580474934,0.06451612903,0,0,0,nan,nan,nan,0.1957368878
61,FLANNEL,2,07/22/2021,50,0.561209369,0.6635664685,0.6137296809,0.54609681,0.5068665549,0.4688185419,0.3829262433,0.3351433646,0.3118568647,0.2697121402,0.2068493151,0.07228915663,0,0,0,nan,nan,nan,0.6007794145
62,FLANNEL,2,07/22/2021,53,0.7518500772,0.7930339509,0.7589299372,0.7095154878,0.656246726,0.6063563861,0.5222359372,0.4516453996,0.4013411908,0.3644827586,0.2794561934,0.21875,0.1333333333,0,0,nan,nan,nan,0.74139727
63,FLANNEL,2,07/22/2021,56,0.6437268972,0.7357791037,0.698669181,0.6345397716,0.5806873122,0.5419599638,0.4438799689,0.3802299976,0.3593068753,0.3222584982,0.2306425041,0.1523809524,0,0,nan,nan,nan,nan,0.6788010096
64,FLANNEL,3,07/22/2021,83,0.7197246418,0.7755715083,0.7608196724,0.7023099004,0.6490611617,0.6064938082,0.4901179886,0.4074029419,0.36347731,0.3041090703,0.1980519481,0.1463414634,0,0,0,nan,nan,nan,0.7313330665
65,FLANNEL,3,07/22/2021,71,0.557906843,0.6798751481,0.6259834133,0.5537988192,0.4798656427,0.4198080989,0.3355214683,0.274953911,0.2306828812,0.2148653035,0.1575342466,0.1045751634,0,0,0,nan,nan,nan,0.602894764
66,FLANNEL,3,07/22/2021,78,0.7762514407,0.9558554519,0.9094714543,0.8214752501,0.7391841053,0.6740134302,0.5763977559,0.4565581618,0.422895189,0.371522694,0.2690238278,0.1515151515,0,nan,0,nan,nan,nan,0.8730577563
67,ADVANCHK_SMS,2,07/30/2021,27,0.7588164251,0.9004707165,0.856091479,0.7840241886,0.6978631512,0.6204555714,0.5484613952,0.4998508251,0.4517699251,0.3737042734,0.373157092,0.3172413793,0.4,1,nan,nan,nan,nan,0.8229329889
68,ADVANCHK_SMS,2,07/30/2021,30,0.7002580096,0.8503414329,0.8033084258,0.7227015911,0.6519124124,0.5619415019,0.5006462411,0.4400708631,0.3846508316,0.301695207,0.2989963022,0.1375661376,0.07692307692,0,0,nan,nan,nan,0.7724467035
69,ADVANCHK_SMS,2,07/30/2021,28,0.7545815387,0.854028375,0.8225866705,0.7385038885,0.70276827,0.6160460052,0.5638518983,0.4828136427,0.444074223,0.4075228595,0.3730084349,0.2845849802,0.2564102564,0,0,nan,nan,nan,0.7921773069
70,ADVANCHK_SMS,3,07/30/2021,35,0.5367787315,0.7167338396,0.6517325528,0.557318679,0.5029901666,0.4045526065,0.3704666471,0.2970303506,0.2796045068,0.2214866654,0.2051677594,0.05504587156,0.1153846154,0.1333333333,0,nan,0,nan,0.6274086203
71,ADVANCHK_SMS,3,07/30/2021,47,0.5708763279,0.7482481473,0.6684991863,0.5535883928,0.4755705266,0.3877199565,0.3312423873,0.2879231357,0.2523234459,0.2164770141,0.1953010279,0.1379310345,0.2083333333,0,0,nan,0,nan,0.6387073922
72,ADVANCHK_SMS,3,07/30/2021,31,0.591706179,0.7428844926,0.6822447259,0.590783006,0.5339457719,0.4673128237,0.4126228892,0.3728035207,0.3401671309,0.313353223,0.2837395417,0.1907692308,0.2608695652,0.25,0,nan,nan,nan,0.6585558937
73,ADVANCHK_SMS,1,08/03/2021,17,0.8952856697,0.9635065448,0.9478500755,0.9239520534,0.8682188124,0.821754094,0.7850214302,0.7294085239,0.6567613063,0.5273430782,0.3744058501,0.275862069,0,nan,nan,nan,0,nan,0.9260041893
74,ADVANCHK_SMS,1,08/03/2021,18,0.7650598748,0.9041974734,0.8525725443,0.7907243433,0.708580191,0.6516655947,0.5914721018,0.5459567684,0.4918088376,0.3852055237,0.2622743111,0.2019230769,0,0,0,nan,nan,nan,0.8236014435
75,ADVANCHK_SMS,1,08/03/2021,18,0.7938138028,0.9312924463,0.8922047868,0.8559351901,0.7763045907,0.7284771657,0.665442778,0.6279951927,0.5577529254,0.4731554955,0.3636959371,0.2844036697,0.4,0.6666666667,0,nan,nan,nan,0.869150987
76,PELL_930,10,08/03/2021,16,0.8561024949,0.9190653755,0.9035690683,0.8913367466,0.841581414,0.810597645,0.7721390141,0.7425555974,0.7051095623,0.627684108,0.5134453782,0.3875,0.08333333333,0.6666666667,nan,nan,nan,nan,0.8903638514
77,PELL_930,10,08/03/2021,15,0.8405505203,0.9090956378,0.8892526491,0.8827786038,0.8323096966,0.7857745033,0.7635621515,0.7461054587,0.725885242,0.6541209084,0.5313857086,0.3111111111,0.1481481481,0,nan,nan,nan,nan,0.8802192194
78,PELL_930,10,08/03/2021,16,0.8468025765,0.9038248804,0.8895184254,0.8726898357,0.8201905362,0.7577864683,0.7498851651,0.7015093197,0.6824395673,0.6035482375,0.4216634429,0.2843137255,0.1714285714,0,0,nan,nan,nan,0.8734955004
79,PELL_930,15,08/03/2021,27,0.7372288071,0.8553941231,0.8141278774,0.7601283311,0.6703430827,0.5943971996,0.5940364377,0.5344335436,0.4863625636,0.4085901548,0.3501133787,0.1465968586,0,0,0,nan,nan,nan,0.7908722472
80,PELL_930,15,08/03/2021,25,0.7648765301,0.883460491,0.8566694067,0.8101211826,0.7199672407,0.6694674861,0.6543061092,0.6129742689,0.5726652239,0.4957861582,0.4388489209,0.328042328,0.2857142857,0,nan,nan,nan,nan,0.833351135
81,PELL_930,15,08/03/2021,26,0.7063365887,0.8267663951,0.7753471019,0.7030761623,0.6274698753,0.5473909769,0.510310043,0.4668873148,0.4119490695,0.3282866999,0.2826639553,0.1818181818,0.2068965517,0,nan,0,nan,nan,0.7513155674
82,HAL_MASK,1,08/03/2021,11,0.4476571429,0.582745262,0.5090124564,0.4387568797,0.4048307385,0.3569785609,0.3338937611,0.3184448208,0.3188055371,0.3060384263,0.3092436975,0.4624277457,0.2142857143,0,nan,2,nan,nan,0.5061452521
83,HAL_MASK,1,08/03/2021,12,0.3985616324,0.5271191187,0.4499929708,0.3684081153,0.3433289993,0.3028318686,0.2777460198,0.2723338485,0.2636819337,0.2742814668,0.2807424594,0.2208588957,0.2162162162,0,nan,0,nan,0,0.4480503974
84,HAL_MASK,1,08/03/2021,9,0.5364677517,0.6405543381,0.5937575048,0.5438608764,0.5413083078,0.5097739485,0.4739732423,0.4684790251,0.4580480044,0.4591517578,0.4475362319,0.4216216216,0.2424242424,0,nan,2,nan,0,0.5924354912
85,FILTI,1,08/03/2021,9,0.7600819015,0.8342937015,0.8061856032,0.7754798041,0.7646511628,0.7301396049,0.7124559995,0.704812369,0.7171264529,0.6960661488,0.7140381282,0.5604395604,0.4444444444,1.2,0,nan,nan,nan,0.8025900785
86,FILTI,1,08/03/2021,6,0.8244528581,0.8703793143,0.8538965074,0.8393238548,0.8357055595,0.8072954638,0.8189410632,0.8134738964,0.8125141009,0.8206759443,0.761789601,0.7975460123,0.4,0.5714285714,0,nan,nan,nan,0.8538701525
87,FILTI,1,08/03/2021,9,0.7719362521,0.8434797168,0.8258809128,0.7993886495,0.7911942608,0.7780627766,0.7651044178,0.7513873474,0.7614012829,0.7961689587,0.7192982456,0.7357512953,0.96,0.4,2,nan,nan,nan,0.8217558695
88,FILTI_WASH,1,08/03/2021,2,0.9642181163,0.9826047759,0.9670139836,0.9561817441,0.914034094,0.9071526112,0.889617219,0.8827962778,0.8493943472,0.8320943953,0.784769963,0.890052356,0.8461538462,0.8571428571,2,nan,nan,nan,0.9617709674
89,FILTI_WASH,1,08/03/2021,3,0.8932128366,0.9530971386,0.9283643428,0.8991218261,0.8876466405,0.8525871172,0.8361292601,0.8162936725,0.8187134503,0.8103140158,0.7680090754,0.8050314465,1.032258065,8,nan,0,nan,nan,0.9234893001
90,FILTI_WASH,1,08/03/2021,4,0.854999096,0.918975858,0.9023586243,0.8832598604,0.8736606053,0.8360891281,0.8130732967,0.7725897774,0.749899746,0.7600777076,0.6967471144,0.5177664975,0.4848484848,0,0,0,nan,nan,0.8965084398
91,OLFN,2,08/03/2021,1,0.936311446,0.9525719808,0.9505018995,0.943427964,0.9472433219,0.9408940208,0.9303681921,0.9271340412,0.9255353985,0.9015228426,0.9146586345,1.038961039,1.268292683,0.8888888889,0,nan,nan,nan,0.9485236201
92,OLFN,2,08/03/2021,4,0.8973621655,0.9042907301,0.9021546122,0.8905444892,0.8868594876,0.8745041244,0.8533630069,0.850115766,0.819897343,0.7645536869,0.7948113208,0.7171717172,0.3428571429,0.3333333333,1.333333333,nan,nan,nan,0.8966388092
93,OLFN,2,08/03/2021,1,1.009157509,0.949781529,0.9640880121,0.9670783457,0.9829872645,0.9874944342,0.9802383592,0.9834795387,1.003500398,1.034472769,1.062827225,1.187096774,1.1,3,0,nan,nan,0,0.9617223336
94,OLFN,3,08/03/2021,10,0.8506181877,0.8392049399,0.8465703137,0.8384052783,0.8307442929,0.8112729099,0.7678456415,0.7309302828,0.7116875144,0.6661211129,0.5632754342,0.5466666667,0.5,0.3333333333,0,nan,nan,0,0.8356582074
95,OLFN,3,08/03/2021,3,0.8538786482,0.8834470139,0.8971689526,0.9043645634,0.9101768051,0.898536715,0.8709807966,0.8548473048,0.798825257,0.7928994083,0.7075519513,0.6943005181,0.3888888889,0.2857142857,2,nan,nan,nan,0.8917536168
96,OLFN,3,08/03/2021,5,0.838848786,0.8724799586,0.8624891924,0.8365362831,0.8146412419,0.7983836119,0.7528596361,0.7222840783,0.6986187845,0.6529802869,0.6447638604,0.6813186813,0.4444444444,0.2222222222,0,nan,nan,nan,0.8506206933
97,OLFN,1,08/03/2021,4,0.7988450433,0.8832182744,0.8558435255,0.8285035649,0.8144879317,0.7967068879,0.7747559275,0.7529857136,0.7544697031,0.705730659,0.7344632768,0.8333333333,1,0.25,0.6666666667,0,nan,nan,0.8538604734
98,OLFN,1,08/03/2021,4,0.9860437494,0.9572330413,0.9643798266,0.9671033254,0.9580763791,0.9587316451,0.9886410574,0.9914899755,1.039333562,1.089866749,1.231240429,1.553719008,1.923076923,0,1,0,nan,nan,0.962854176
99,OLFN,1,08/03/2021,3,0.9377765226,0.9925109621,1.001953613,1.007616321,0.9974730391,1.006917698,1.026554867,1.03113879,1.04243658,1.059845298,1.187012987,1.394366197,1.28,0.5,0,0,nan,nan,1.000187486
